analysis,outcome,family,fit_method,formula,term,estimate,std_error,statistic,p_value,ci95_low,ci95_high,n_conditions,n_entity_clusters,effect_scale,odds_ratio,odds_ratio_ci95_low,odds_ratio_ci95_high
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),Intercept,,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.2:2],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:1],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.3:2],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:0],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.4:1],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(model_id)[T.gemini-3.5-flash],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(distribution_request_assigned)[T.1.0],,,,,,,1338,75,log_odds,,,
RQ1 majority selection adjusted for distribution arm,is_maj,binomial,GEE exchangeable/entity-clustered,is_maj ~ C(ratio) * C(model_id) + C(distribution_request_assigned) * C(ratio) + C(strategy) + C(layout_index),C(ratio)[T.2:2]:C(model_id)[T.deepseek/deepseek-v4-flash],,,,,,,1338,75,log_odds,,,
