ratio,model_id,strategy,layout_index,distribution_request_assigned,metric,n_conditions_total,n_observed,n_missing,mean,median,sd,se,ci95_low,ci95_high
2:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_majority,37,0,37,,,,,,
2:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_majority,38,38,0,68.74561403508773,70.33333333333334,11.220004178114856,1.8201250228668853,65.17823454290858,72.31299352726687
2:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
2:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_majority,38,38,0,71.61403508771932,70.0,9.843375942464126,1.5968064341108898,68.48435198658022,74.74371818885841
2:1,gemini-3.5-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
2:1,gemini-3.5-flash,standard,1,1.0,p_majority,38,38,0,58.21929824561404,63.33333333333333,15.286508274618074,2.479799096435705,53.35898132770522,63.07961516352286
2:2,anthropic/claude-haiku-4.5,standard,1,0.0,p_majority,37,0,37,,,,,,
2:2,anthropic/claude-haiku-4.5,standard,1,1.0,p_majority,38,38,0,46.614035087719294,46.666666666666664,11.932625253487894,1.9357274264416318,42.82007904800739,50.407991127431195
2:2,deepseek/deepseek-v4-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
2:2,deepseek/deepseek-v4-flash,standard,1,1.0,p_majority,38,38,0,28.552631578947373,26.666666666666668,19.758949212159678,3.205324821247104,22.270310370550938,34.83495278734381
2:2,gemini-3.5-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
2:2,gemini-3.5-flash,standard,1,1.0,p_majority,38,38,0,26.096491228070178,32.5,13.558217900633627,2.199433375841331,21.78568102502594,30.407301431114416
3:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_majority,37,0,37,,,,,,
3:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_majority,38,38,0,77.26315789473685,76.66666666666667,7.056255246696195,1.1446757539804562,75.01963464295899,79.50668114651471
3:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
3:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_majority,38,38,0,84.47368421052633,85.0,5.009079791143105,0.8125800422766177,82.88105659310817,86.06631182794449
3:1,gemini-3.5-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
3:1,gemini-3.5-flash,standard,1,1.0,p_majority,38,38,0,74.95614035087719,75.0,4.8162456891574585,0.7812982202100318,73.42482397808033,76.48745672367406
3:2,anthropic/claude-haiku-4.5,standard,1,0.0,p_majority,37,0,37,,,,,,
3:2,anthropic/claude-haiku-4.5,standard,1,1.0,p_majority,38,38,0,62.64912280701753,65.0,9.59915767338806,1.5571889994352752,59.597088451002506,65.70115716303255
3:2,deepseek/deepseek-v4-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
3:2,deepseek/deepseek-v4-flash,standard,1,1.0,p_majority,38,38,0,58.37719298245613,60.0,13.675161291631685,2.218404098920886,54.02920084541528,62.72518511949698
3:2,gemini-3.5-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
3:2,gemini-3.5-flash,standard,1,1.0,p_majority,38,38,0,49.91228070175439,58.33333333333333,12.692643872402217,2.0590187268877527,45.876678153560995,53.947883249947786
4:0,anthropic/claude-haiku-4.5,standard,1,0.0,p_majority,37,0,37,,,,,,
4:0,anthropic/claude-haiku-4.5,standard,1,1.0,p_majority,38,0,38,,,,,,
4:0,deepseek/deepseek-v4-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
4:0,deepseek/deepseek-v4-flash,standard,1,1.0,p_majority,38,0,38,,,,,,
4:0,gemini-3.5-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
4:0,gemini-3.5-flash,standard,1,1.0,p_majority,38,0,38,,,,,,
4:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_majority,37,0,37,,,,,,
4:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_majority,38,38,0,81.46491228070177,81.66666666666667,7.084449609417349,1.149249483568958,79.21242468365541,83.71739987774812
4:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
4:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_majority,38,38,0,87.52631578947368,88.33333333333333,3.2702421863895417,0.5305033349178835,86.48654835935628,88.56608321959109
4:1,gemini-3.5-flash,standard,1,0.0,p_majority,37,0,37,,,,,,
4:1,gemini-3.5-flash,standard,1,1.0,p_majority,38,38,0,80.43859649122808,80.0,1.885785716011785,0.30591483879952436,79.83901442484465,81.03817855761152
2:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_minority,37,0,37,,,,,,
2:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_minority,38,38,0,24.824561403508778,22.5,10.648559191998562,1.7274244051210512,21.438871783456083,28.210251023561472
2:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
2:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_minority,38,38,0,18.36842105263158,18.333333333333332,8.029895146150006,1.3026210021394662,15.815330802932824,20.921511302330334
2:1,gemini-3.5-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
2:1,gemini-3.5-flash,standard,1,1.0,p_minority,38,38,0,27.13157894736842,31.0,7.820255317784746,1.2686129312564445,24.64514329178407,29.618014602952773
2:2,anthropic/claude-haiku-4.5,standard,1,0.0,p_minority,37,0,37,,,,,,
2:2,anthropic/claude-haiku-4.5,standard,1,1.0,p_minority,38,38,0,47.64912280701754,48.333333333333336,12.595091128334774,2.0431935821099265,43.64453697263881,51.65370864139627
2:2,deepseek/deepseek-v4-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
2:2,deepseek/deepseek-v4-flash,standard,1,1.0,p_minority,38,38,0,32.5,25.0,23.17432953829624,3.759372671455025,25.131764959484226,39.86823504051578
2:2,gemini-3.5-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
2:2,gemini-3.5-flash,standard,1,1.0,p_minority,38,38,0,26.096491228070178,32.5,13.558217900633627,2.199433375841331,21.78568102502594,30.407301431114416
3:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_minority,37,0,37,,,,,,
3:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_minority,38,38,0,17.587719298245617,17.5,6.14559790718484,0.9969476262017648,15.633737856417511,19.541700740073722
3:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
3:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_minority,38,38,0,9.280701754385966,8.333333333333334,3.7380651446654327,0.606394240046996,8.09219088346135,10.46921262531058
3:1,gemini-3.5-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
3:1,gemini-3.5-flash,standard,1,1.0,p_minority,38,38,0,23.903508771929822,25.0,3.406325060654061,0.5525788921726328,22.82047404465445,24.986543499205194
3:2,anthropic/claude-haiku-4.5,standard,1,0.0,p_minority,37,0,37,,,,,,
3:2,anthropic/claude-haiku-4.5,standard,1,1.0,p_minority,38,38,0,32.26315789473684,30.0,9.70624327569364,1.57456057802393,29.177075870333454,35.34923991914023
3:2,deepseek/deepseek-v4-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
3:2,deepseek/deepseek-v4-flash,standard,1,1.0,p_minority,38,38,0,29.03508771929825,27.5,12.661162738231795,2.0539118125638187,25.009494539251893,33.060680899344604
3:2,gemini-3.5-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
3:2,gemini-3.5-flash,standard,1,1.0,p_minority,38,38,0,34.473684210526315,40.0,8.01748523810474,1.300607849220261,31.924539668044574,37.022828753008056
4:0,anthropic/claude-haiku-4.5,standard,1,0.0,p_minority,37,0,37,,,,,,
4:0,anthropic/claude-haiku-4.5,standard,1,1.0,p_minority,38,0,38,,,,,,
4:0,deepseek/deepseek-v4-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
4:0,deepseek/deepseek-v4-flash,standard,1,1.0,p_minority,38,0,38,,,,,,
4:0,gemini-3.5-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
4:0,gemini-3.5-flash,standard,1,1.0,p_minority,38,0,38,,,,,,
4:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_minority,37,0,37,,,,,,
4:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_minority,38,38,0,14.122807017543861,13.333333333333334,6.068389544801565,0.984422775932771,12.193373831154739,16.052240203932982
4:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
4:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_minority,38,38,0,6.771929824561404,6.666666666666667,2.1701015920613567,0.3520369642623236,6.081950053380455,7.461909595742354
4:1,gemini-3.5-flash,standard,1,0.0,p_minority,37,0,37,,,,,,
4:1,gemini-3.5-flash,standard,1,1.0,p_minority,38,38,0,19.385964912280702,20.0,1.8348090961067305,0.2976453390740837,18.802590767529303,19.9693390570321
2:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
2:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_indeterminate,38,38,0,6.429824561403509,5.833333333333334,2.219092548804852,0.35998434688780917,5.72426820650525,7.135380916301769
2:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
2:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_indeterminate,38,38,0,10.017543859649122,9.166666666666668,6.120387516643059,0.9928579608208157,8.071578014676497,11.963509704621746
2:1,gemini-3.5-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
2:1,gemini-3.5-flash,standard,1,1.0,p_indeterminate,38,38,0,14.649122807017543,6.666666666666667,19.613984618203652,3.1818084588019135,8.412892822061067,20.885352791974018
2:2,anthropic/claude-haiku-4.5,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
2:2,anthropic/claude-haiku-4.5,standard,1,1.0,p_indeterminate,38,38,0,5.736842105263158,5.0,3.993356265434345,0.6478079284601941,4.467161896581713,7.006522313944604
2:2,deepseek/deepseek-v4-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
2:2,deepseek/deepseek-v4-flash,standard,1,1.0,p_indeterminate,38,38,0,38.94736842105264,30.833333333333332,31.93090572839067,5.179876905251941,28.794996242408317,49.09974059969696
2:2,gemini-3.5-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
2:2,gemini-3.5-flash,standard,1,1.0,p_indeterminate,38,38,0,47.80701754385965,35.0,27.116435801267254,4.398866751682662,39.185397137771176,56.428637949948126
3:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
3:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_indeterminate,38,38,0,5.149122807017544,5.0,1.9276670123849071,0.3127088822159709,4.53622466022848,5.762020953806608
3:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
3:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_indeterminate,38,38,0,6.245614035087719,5.833333333333334,2.191553825788731,0.35551697610400756,5.5488135660312965,6.942414504144142
3:1,gemini-3.5-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
3:1,gemini-3.5-flash,standard,1,1.0,p_indeterminate,38,38,0,1.1403508771929824,0.0,5.453946736877148,0.884746990427696,0.0,2.8744231138614227
3:2,anthropic/claude-haiku-4.5,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
3:2,anthropic/claude-haiku-4.5,standard,1,1.0,p_indeterminate,38,38,0,5.087719298245614,5.0,2.1556326252803535,0.3496897879088155,4.402339908182904,5.773098688308323
3:2,deepseek/deepseek-v4-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
3:2,deepseek/deepseek-v4-flash,standard,1,1.0,p_indeterminate,38,38,0,12.587719298245615,10.0,10.840762306708346,1.7586038675350313,9.1409190548042,16.03451954168703
3:2,gemini-3.5-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
3:2,gemini-3.5-flash,standard,1,1.0,p_indeterminate,38,38,0,15.6140350877193,0.0,20.37346892728059,3.30501308274689,9.136328477101877,22.091741698336723
4:0,anthropic/claude-haiku-4.5,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
4:0,anthropic/claude-haiku-4.5,standard,1,1.0,p_indeterminate,38,0,38,,,,,,
4:0,deepseek/deepseek-v4-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
4:0,deepseek/deepseek-v4-flash,standard,1,1.0,p_indeterminate,38,0,38,,,,,,
4:0,gemini-3.5-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
4:0,gemini-3.5-flash,standard,1,1.0,p_indeterminate,38,0,38,,,,,,
4:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
4:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_indeterminate,38,38,0,4.412280701754387,5.0,1.945865271495616,0.3156610296710159,3.7935964522763834,5.030964951232391
4:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
4:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_indeterminate,38,38,0,5.701754385964913,5.0,2.1319667268110667,0.34585067222679144,5.023899524371453,6.379609247558372
4:1,gemini-3.5-flash,standard,1,0.0,p_indeterminate,37,0,37,,,,,,
4:1,gemini-3.5-flash,standard,1,1.0,p_indeterminate,38,38,0,0.1754385964912281,0.0,0.7543142864047141,0.12236593551980976,0.0,0.4152714230445992
2:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
2:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_sources_conflict,38,38,0,93.11403508771929,93.33333333333333,4.009954816749087,0.6505005690431833,91.83907740047187,94.38899277496671
2:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
2:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_sources_conflict,38,38,0,93.9736842105263,96.66666666666667,6.1043880141018985,0.9902624987812033,92.03280537767456,95.91456304337804
2:1,gemini-3.5-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
2:1,gemini-3.5-flash,standard,1,1.0,p_sources_conflict,38,38,0,99.95614035087719,100.0,0.27036903521793837,0.043859649122807154,99.87017701822192,100.0
2:2,anthropic/claude-haiku-4.5,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
2:2,anthropic/claude-haiku-4.5,standard,1,1.0,p_sources_conflict,38,38,0,97.93859649122807,100.0,3.252031255420772,0.5275491318160155,96.90461919279333,98.9725737896628
2:2,deepseek/deepseek-v4-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
2:2,deepseek/deepseek-v4-flash,standard,1,1.0,p_sources_conflict,38,38,0,97.50000000000001,100.0,3.350182640353168,0.5434713889657012,96.43481565099931,98.56518434900072
2:2,gemini-3.5-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
2:2,gemini-3.5-flash,standard,1,1.0,p_sources_conflict,38,38,0,100.0,100.0,0.0,0.0,100.0,100.0
3:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
3:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_sources_conflict,38,38,0,86.24561403508774,86.66666666666667,5.120578638078576,0.8306675436809312,84.6175355663468,87.87369250382868
3:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
3:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_sources_conflict,38,38,0,87.63157894736844,90.0,12.802681183548735,2.076869135879349,83.56099024044221,91.70216765429467
3:1,gemini-3.5-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
3:1,gemini-3.5-flash,standard,1,1.0,p_sources_conflict,38,38,0,100.0,100.0,0.0,0.0,100.0,100.0
3:2,anthropic/claude-haiku-4.5,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
3:2,anthropic/claude-haiku-4.5,standard,1,1.0,p_sources_conflict,38,38,0,93.14912280701753,93.33333333333333,4.953051274462417,0.8034910166768279,91.57430935242952,94.72393626160554
3:2,deepseek/deepseek-v4-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
3:2,deepseek/deepseek-v4-flash,standard,1,1.0,p_sources_conflict,38,38,0,94.56140350877193,96.66666666666667,7.919302174173761,1.284680453058405,92.04347608913493,97.07933092840894
3:2,gemini-3.5-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
3:2,gemini-3.5-flash,standard,1,1.0,p_sources_conflict,38,38,0,100.0,100.0,0.0,0.0,100.0,100.0
4:0,anthropic/claude-haiku-4.5,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
4:0,anthropic/claude-haiku-4.5,standard,1,1.0,p_sources_conflict,38,0,38,,,,,,
4:0,deepseek/deepseek-v4-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
4:0,deepseek/deepseek-v4-flash,standard,1,1.0,p_sources_conflict,38,0,38,,,,,,
4:0,gemini-3.5-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
4:0,gemini-3.5-flash,standard,1,1.0,p_sources_conflict,38,0,38,,,,,,
4:1,anthropic/claude-haiku-4.5,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
4:1,anthropic/claude-haiku-4.5,standard,1,1.0,p_sources_conflict,38,38,0,81.73684210526316,86.66666666666667,15.160038724969128,2.4592830263618857,76.91673594580334,86.55694826472299
4:1,deepseek/deepseek-v4-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
4:1,deepseek/deepseek-v4-flash,standard,1,1.0,p_sources_conflict,38,38,0,79.80701754385964,86.66666666666667,19.71198497933452,3.1977062166558907,73.53962852607444,86.07440656164485
4:1,gemini-3.5-flash,standard,1,0.0,p_sources_conflict,37,0,37,,,,,,
4:1,gemini-3.5-flash,standard,1,1.0,p_sources_conflict,38,38,0,100.0,100.0,0.0,0.0,100.0,100.0
