ratio,model_id,strategy,layout_index,distribution_request_assigned,outcome,n_conditions_total,n_conditions_analyzed,n_event,rate,rate_percent,ci95_low,ci95_high,ci95_low_percent,ci95_high_percent
2:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,37,37,30,0.8108108108108109,81.08108108108108,0.6579530307016207,0.905200212696878,65.79530307016206,90.5200212696878
2:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,38,38,36,0.9473684210526315,94.73684210526316,0.8271453786823006,0.9854457918527071,82.71453786823007,98.5445791852707
2:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999
2:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0
2:1,gemini-3.5-flash,standard,1,0.0,is_maj,37,37,12,0.32432432432432434,32.432432432432435,0.19633266528144463,0.48536332758027345,19.633266528144464,48.53633275802734
2:1,gemini-3.5-flash,standard,1,1.0,is_maj,38,37,28,0.7567567567567568,75.67567567567568,0.5988270787855783,0.8663864701088337,59.88270787855783,86.63864701088337
2:2,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,37,33,12,0.36363636363636365,36.36363636363637,0.22187178235242674,0.5338382169773315,22.187178235242673,53.38382169773315
2:2,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,38,36,13,0.3611111111111111,36.111111111111114,0.22475592946515677,0.5242492451444151,22.475592946515675,52.42492451444151
2:2,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,37,37,21,0.5675675675675675,56.75675675675676,0.40914181090168494,0.7132828072284234,40.9141810901685,71.32828072284234
2:2,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,38,34,8,0.23529411764705882,23.529411764705884,0.124369855326398,0.399961379225359,12.436985532639799,39.9961379225359
2:2,gemini-3.5-flash,standard,1,0.0,is_maj,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779
2:2,gemini-3.5-flash,standard,1,1.0,is_maj,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935
3:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,37,37,35,0.9459459459459459,94.5945945945946,0.8229534564918737,0.9850490231668418,82.29534564918737,98.50490231668418
3:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0
3:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999
3:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0
3:1,gemini-3.5-flash,standard,1,0.0,is_maj,37,37,33,0.8918918918918919,89.1891891891892,0.7529146845587444,0.9571481005958842,75.29146845587445,95.71481005958842
3:1,gemini-3.5-flash,standard,1,1.0,is_maj,38,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999
3:2,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,37,37,33,0.8918918918918919,89.1891891891892,0.7529146845587444,0.9571481005958842,75.29146845587445,95.71481005958842
3:2,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,38,38,35,0.9210526315789473,92.10526315789474,0.79200628542229,0.9727854044930115,79.200628542229,97.27854044930115
3:2,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,37,37,35,0.9459459459459459,94.5945945945946,0.8229534564918737,0.9850490231668418,82.29534564918737,98.50490231668418
3:2,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,38,38,34,0.8947368421052632,89.47368421052632,0.7586947827711314,0.9582974265244637,75.86947827711315,95.82974265244637
3:2,gemini-3.5-flash,standard,1,0.0,is_maj,37,37,14,0.3783783783783784,37.83783783783784,0.24063999175798576,0.538995695607819,24.063999175798575,53.8995695607819
3:2,gemini-3.5-flash,standard,1,1.0,is_maj,38,38,29,0.7631578947368421,76.3157894736842,0.6079318763676066,0.870062929829457,60.793187636760656,87.0062929829457
4:0,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999
4:0,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0
4:0,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999
4:0,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0
4:0,gemini-3.5-flash,standard,1,0.0,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999
4:0,gemini-3.5-flash,standard,1,1.0,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0
4:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,37,37,36,0.972972972972973,97.29729729729729,0.8617593013626994,0.9952130255480593,86.17593013626994,99.52130255480594
4:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0
4:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999
4:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0
4:1,gemini-3.5-flash,standard,1,0.0,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999
4:1,gemini-3.5-flash,standard,1,1.0,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0
