domain,ratio,model_id,strategy,layout_index,distribution_request_assigned,outcome,n_conditions_total,n_conditions_analyzed,n_event,rate,rate_percent,ci95_low,ci95_high,ci95_low_percent,ci95_high_percent
banking,2:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,2:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,2:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,2:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,2:1,gemini-3.5-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,2:1,gemini-3.5-flash,standard,1,1.0,is_flag,15,15,3,0.2,20.0,0.07047549346981746,0.45185448715168625,7.0475493469817465,45.185448715168626
banking,2:2,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,15,14,0,0.0,0.0,0.0,0.2153108027376265,0.0,21.53108027376265
banking,2:2,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,2:2,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,2:2,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,15,14,3,0.21428571428571427,21.428571428571427,0.07571386712693395,0.4758923058659955,7.571386712693395,47.58923058659955
banking,2:2,gemini-3.5-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,2:2,gemini-3.5-flash,standard,1,1.0,is_flag,15,15,14,0.9333333333333333,93.33333333333333,0.7018347012622079,0.988133104506731,70.1834701262208,98.8133104506731
banking,3:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:1,gemini-3.5-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:1,gemini-3.5-flash,standard,1,1.0,is_flag,15,14,0,0.0,0.0,0.0,0.2153108027376265,0.0,21.53108027376265
banking,3:2,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:2,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:2,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:2,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:2,gemini-3.5-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,3:2,gemini-3.5-flash,standard,1,1.0,is_flag,15,15,4,0.26666666666666666,26.666666666666668,0.10897453325692635,0.5195043405597988,10.897453325692636,51.950434055979876
banking,4:0,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:0,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:0,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:0,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:0,gemini-3.5-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:0,gemini-3.5-flash,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:1,gemini-3.5-flash,standard,1,0.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
banking,4:1,gemini-3.5-flash,standard,1,1.0,is_flag,15,15,0,0.0,0.0,0.0,0.20388330103583963,0.0,20.38833010358396
general,2:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,2:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,2:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,2:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,23,23,0,0.0,0.0,0.0,0.14311661845042006,0.0,14.311661845042007
general,2:1,gemini-3.5-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,2:1,gemini-3.5-flash,standard,1,1.0,is_flag,23,22,5,0.22727272727272727,22.727272727272727,0.10123039985248736,0.43439953175221113,10.123039985248736,43.43995317522111
general,2:2,anthropic/claude-haiku-4.5,standard,1,0.0,is_flag,22,19,0,0.0,0.0,0.0,0.16817922405260854,0.0,16.817922405260855
general,2:2,anthropic/claude-haiku-4.5,standard,1,1.0,is_flag,23,21,4,0.19047619047619047,19.047619047619047,0.07667565052761979,0.4000056469020429,7.667565052761979,40.000564690204286
general,2:2,deepseek/deepseek-v4-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
general,2:2,deepseek/deepseek-v4-flash,standard,1,1.0,is_flag,23,20,10,0.5,50.0,0.29929800819821695,0.700701991801783,29.929800819821693,70.0701991801783
general,2:2,gemini-3.5-flash,standard,1,0.0,is_flag,22,22,0,0.0,0.0,0.0,0.1486548746086139,0.0,14.86548746086139
