minority_position,ratio,model_id,strategy,layout_index,distribution_request_assigned,outcome,n_conditions_total,n_conditions_analyzed,n_event,rate,rate_percent,ci95_low,ci95_high,ci95_low_percent,ci95_high_percent
first,2:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,15,15,13,0.8666666666666667,86.66666666666667,0.6211801716767842,0.9626387408969335,62.11801716767842,96.26387408969335
first,2:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,10,10,10,1.0,100.0,0.7224672001371218,0.9999999999999999,72.24672001371218,99.99999999999999
first,2:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,15,15,15,1.0,100.0,0.7961166989641604,1.0,79.61166989641603,100.0
first,2:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,10,10,10,1.0,100.0,0.7224672001371218,0.9999999999999999,72.24672001371218,99.99999999999999
first,2:1,gemini-3.5-flash,standard,1,0.0,is_maj,15,15,4,0.26666666666666666,26.666666666666668,0.10897453325692635,0.5195043405597988,10.897453325692636,51.950434055979876
first,2:1,gemini-3.5-flash,standard,1,1.0,is_maj,10,9,8,0.8888888888888888,88.88888888888889,0.5650002944233536,0.9801091123614543,56.50002944233536,98.01091123614543
first,3:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,9,9,9,1.0,100.0,0.7008549515804674,1.0,70.08549515804674,100.0
first,3:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,13,13,13,1.0,100.0,0.7719046276458112,1.0,77.19046276458113,100.0
first,3:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,9,9,9,1.0,100.0,0.7008549515804674,1.0,70.08549515804674,100.0
first,3:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,13,13,13,1.0,100.0,0.7719046276458112,1.0,77.19046276458113,100.0
first,3:1,gemini-3.5-flash,standard,1,0.0,is_maj,9,9,9,1.0,100.0,0.7008549515804674,1.0,70.08549515804674,100.0
first,3:1,gemini-3.5-flash,standard,1,1.0,is_maj,13,13,13,1.0,100.0,0.7719046276458112,1.0,77.19046276458113,100.0
first,4:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,10,10,9,0.9,90.0,0.595849973204771,0.9821237869049263,59.58499732047709,98.21237869049263
first,4:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,5,5,5,1.0,100.0,0.5655175352168389,1.0,56.55175352168389,100.0
first,4:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,10,10,10,1.0,100.0,0.7224672001371218,0.9999999999999999,72.24672001371218,99.99999999999999
first,4:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,5,5,5,1.0,100.0,0.5655175352168389,1.0,56.55175352168389,100.0
first,4:1,gemini-3.5-flash,standard,1,0.0,is_maj,10,10,10,1.0,100.0,0.7224672001371218,0.9999999999999999,72.24672001371218,99.99999999999999
first,4:1,gemini-3.5-flash,standard,1,1.0,is_maj,5,5,5,1.0,100.0,0.5655175352168389,1.0,56.55175352168389,100.0
last,2:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,8,8,6,0.75,75.0,0.40927543031017727,0.9285207872478887,40.92754303101773,92.85207872478887
last,2:1,anthropic/claude-haiku-4.5,standard,1,1.0,is_maj,13,13,13,1.0,100.0,0.7719046276458112,1.0,77.19046276458113,100.0
last,2:1,deepseek/deepseek-v4-flash,standard,1,0.0,is_maj,8,8,8,1.0,100.0,0.6755924351161318,1.0,67.55924351161318,100.0
last,2:1,deepseek/deepseek-v4-flash,standard,1,1.0,is_maj,13,13,13,1.0,100.0,0.7719046276458112,1.0,77.19046276458113,100.0
last,2:1,gemini-3.5-flash,standard,1,0.0,is_maj,8,8,2,0.25,25.0,0.07147921275211133,0.5907245696898228,7.147921275211133,59.07245696898228
last,2:1,gemini-3.5-flash,standard,1,1.0,is_maj,13,13,9,0.6923076923076923,69.23076923076923,0.4236934318054971,0.8731929634428918,42.36934318054971,87.31929634428917
last,3:1,anthropic/claude-haiku-4.5,standard,1,0.0,is_maj,10,10,9,0.9,90.0,0.595849973204771,0.9821237869049263,59.58499732047709,98.21237869049263
