distribution_request_assigned,model_id,ratio,strategy,layout_index,metric,n_conditions_total,n_observed,n_missing,mean,median,sd,se,ci95_low,ci95_high
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,2:1,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,2:2,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,3:1,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,3:2,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,4:1,standard,1,primary_api_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,gemini-3.5-flash,2:1,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,gemini-3.5-flash,2:2,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,gemini-3.5-flash,3:1,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,gemini-3.5-flash,3:2,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,gemini-3.5-flash,4:1,standard,1,primary_api_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,2:1,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,2:2,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,3:1,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,3:2,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
0.0,gemini-3.5-flash,4:1,standard,1,primary_format_error_rate,37,37,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,gemini-3.5-flash,2:1,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,gemini-3.5-flash,2:2,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
1.0,gemini-3.5-flash,3:1,standard,1,primary_format_error_rate,38,38,0,0.0,0.0,0.0,0.0,0,0.0
