distribution_request_assigned,model_id,ratio,strategy,layout_index,outcome,n_conditions_total,n_conditions_analyzed,n_event,rate,rate_percent,ci95_low,ci95_high,ci95_low_percent,ci95_high_percent,estimand_role
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,is_flag,37,33,0,0.0,0.0,0.0,0.10426999754244692,0.0,10.426999754244692,primary
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,gemini-3.5-flash,2:1,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,gemini-3.5-flash,2:2,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,gemini-3.5-flash,3:1,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,gemini-3.5-flash,3:2,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
0.0,gemini-3.5-flash,4:1,standard,1,is_flag,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,is_flag,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,primary
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,is_flag,38,36,4,0.1111111111111111,11.11111111111111,0.04406640300315755,0.25314808590364374,4.406640300315755,25.314808590364375,primary
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,is_flag,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,primary
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,is_flag,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,primary
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,is_flag,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,primary
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,is_flag,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,primary
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,is_flag,38,34,13,0.38235294117647056,38.23529411764706,0.23900183324509228,0.5495898265556887,23.90018332450923,54.95898265556887,primary
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,is_flag,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,primary
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,is_flag,38,38,1,0.02631578947368421,2.6315789473684212,0.004660587685768949,0.13494876115951676,0.46605876857689493,13.494876115951676,primary
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,is_flag,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,primary
1.0,gemini-3.5-flash,2:1,standard,1,is_flag,38,37,8,0.21621621621621623,21.62162162162162,0.11386511993385787,0.3719514839196868,11.386511993385787,37.19514839196868,primary
1.0,gemini-3.5-flash,2:2,standard,1,is_flag,38,38,36,0.9473684210526315,94.73684210526316,0.8271453786823006,0.9854457918527071,82.71453786823007,98.5445791852707,primary
1.0,gemini-3.5-flash,3:1,standard,1,is_flag,38,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,primary
1.0,gemini-3.5-flash,3:2,standard,1,is_flag,38,38,7,0.18421052631578946,18.42105263157895,0.09221765185221446,0.3341885807113093,9.221765185221447,33.41885807113093,primary
1.0,gemini-3.5-flash,4:1,standard,1,is_flag,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,primary
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,is_maj,37,37,30,0.8108108108108109,81.08108108108108,0.6579530307016207,0.905200212696878,65.79530307016206,90.5200212696878,secondary
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,is_maj,37,33,12,0.36363636363636365,36.36363636363637,0.22187178235242674,0.5338382169773315,22.187178235242673,53.38382169773315,secondary
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,is_maj,37,37,35,0.9459459459459459,94.5945945945946,0.8229534564918737,0.9850490231668418,82.29534564918737,98.50490231668418,secondary
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,is_maj,37,37,33,0.8918918918918919,89.1891891891892,0.7529146845587444,0.9571481005958842,75.29146845587445,95.71481005958842,secondary
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,is_maj,37,37,36,0.972972972972973,97.29729729729729,0.8617593013626994,0.9952130255480593,86.17593013626994,99.52130255480594,secondary
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999,secondary
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,is_maj,37,37,21,0.5675675675675675,56.75675675675676,0.40914181090168494,0.7132828072284234,40.9141810901685,71.32828072284234,secondary
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999,secondary
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,is_maj,37,37,35,0.9459459459459459,94.5945945945946,0.8229534564918737,0.9850490231668418,82.29534564918737,98.50490231668418,secondary
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999,secondary
0.0,gemini-3.5-flash,2:1,standard,1,is_maj,37,37,12,0.32432432432432434,32.432432432432435,0.19633266528144463,0.48536332758027345,19.633266528144464,48.53633275802734,secondary
0.0,gemini-3.5-flash,2:2,standard,1,is_maj,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,gemini-3.5-flash,3:1,standard,1,is_maj,37,37,33,0.8918918918918919,89.1891891891892,0.7529146845587444,0.9571481005958842,75.29146845587445,95.71481005958842,secondary
0.0,gemini-3.5-flash,3:2,standard,1,is_maj,37,37,14,0.3783783783783784,37.83783783783784,0.24063999175798576,0.538995695607819,24.063999175798575,53.8995695607819,secondary
0.0,gemini-3.5-flash,4:1,standard,1,is_maj,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999,secondary
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,is_maj,38,38,36,0.9473684210526315,94.73684210526316,0.8271453786823006,0.9854457918527071,82.71453786823007,98.5445791852707,secondary
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,is_maj,38,36,13,0.3611111111111111,36.111111111111114,0.22475592946515677,0.5242492451444151,22.475592946515675,52.42492451444151,secondary
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0,secondary
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,is_maj,38,38,35,0.9210526315789473,92.10526315789474,0.79200628542229,0.9727854044930115,79.200628542229,97.27854044930115,secondary
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0,secondary
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0,secondary
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,is_maj,38,34,8,0.23529411764705882,23.529411764705884,0.124369855326398,0.399961379225359,12.436985532639799,39.9961379225359,secondary
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0,secondary
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,is_maj,38,38,34,0.8947368421052632,89.47368421052632,0.7586947827711314,0.9582974265244637,75.86947827711315,95.82974265244637,secondary
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0,secondary
1.0,gemini-3.5-flash,2:1,standard,1,is_maj,38,37,28,0.7567567567567568,75.67567567567568,0.5988270787855783,0.8663864701088337,59.88270787855783,86.63864701088337,secondary
1.0,gemini-3.5-flash,2:2,standard,1,is_maj,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,gemini-3.5-flash,3:1,standard,1,is_maj,38,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999,secondary
1.0,gemini-3.5-flash,3:2,standard,1,is_maj,38,38,29,0.7631578947368421,76.3157894736842,0.6079318763676066,0.870062929829457,60.793187636760656,87.0062929829457,secondary
1.0,gemini-3.5-flash,4:1,standard,1,is_maj,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0,secondary
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,is_com,37,37,3,0.08108108108108109,8.108108108108109,0.027960574100448707,0.21300679349287915,2.7960574100448707,21.300679349287915,secondary
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,is_com,37,33,7,0.21212121212121213,21.21212121212121,0.10676021533021005,0.3775164499215019,10.676021533021004,37.75164499215019,secondary
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,is_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,is_com,37,37,2,0.05405405405405406,5.405405405405405,0.014950976833158144,0.17704654350812637,1.4950976833158145,17.70465435081264,secondary
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,is_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,is_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,is_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,is_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,is_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,is_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,gemini-3.5-flash,2:1,standard,1,is_com,37,37,25,0.6756756756756757,67.56756756756756,0.5146366724197265,0.8036673347185553,51.46366724197266,80.36673347185554,secondary
0.0,gemini-3.5-flash,2:2,standard,1,is_com,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999,secondary
0.0,gemini-3.5-flash,3:1,standard,1,is_com,37,37,4,0.10810810810810811,10.81081081081081,0.04285189940411574,0.24708531544125548,4.285189940411574,24.70853154412555,secondary
0.0,gemini-3.5-flash,3:2,standard,1,is_com,37,37,23,0.6216216216216216,62.16216216216216,0.4610043043921809,0.7593600082420141,46.10043043921809,75.93600082420141,secondary
0.0,gemini-3.5-flash,4:1,standard,1,is_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,is_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,is_com,38,36,3,0.08333333333333333,8.333333333333334,0.02874861133599417,0.2182669124927215,2.874861133599417,21.82669124927215,secondary
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,is_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,is_com,38,38,1,0.02631578947368421,2.6315789473684212,0.004660587685768949,0.13494876115951676,0.46605876857689493,13.494876115951676,secondary
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,is_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,is_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,is_com,38,34,0,0.0,0.0,0.0,0.10151455415331875,0.0,10.151455415331876,secondary
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,is_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,is_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,is_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,gemini-3.5-flash,2:1,standard,1,is_com,38,37,1,0.02702702702702703,2.7027027027027026,0.004786974451940623,0.1382406986373005,0.4786974451940623,13.82406986373005,secondary
1.0,gemini-3.5-flash,2:2,standard,1,is_com,38,38,2,0.05263157894736842,5.2631578947368425,0.014554208147292844,0.1728546213176992,1.4554208147292844,17.28546213176992,secondary
1.0,gemini-3.5-flash,3:1,standard,1,is_com,38,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
1.0,gemini-3.5-flash,3:2,standard,1,is_com,38,38,2,0.05263157894736842,5.2631578947368425,0.014554208147292844,0.1728546213176992,1.4554208147292844,17.28546213176992,secondary
1.0,gemini-3.5-flash,4:1,standard,1,is_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,is_flag_or_com,37,37,3,0.08108108108108109,8.108108108108109,0.027960574100448707,0.21300679349287915,2.7960574100448707,21.300679349287915,secondary
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,is_flag_or_com,37,33,7,0.21212121212121213,21.21212121212121,0.10676021533021005,0.3775164499215019,10.676021533021004,37.75164499215019,secondary
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,is_flag_or_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,is_flag_or_com,37,37,2,0.05405405405405406,5.405405405405405,0.014950976833158144,0.17704654350812637,1.4950976833158145,17.70465435081264,secondary
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,is_flag_or_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,is_flag_or_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,is_flag_or_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,is_flag_or_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,is_flag_or_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,is_flag_or_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
0.0,gemini-3.5-flash,2:1,standard,1,is_flag_or_com,37,37,25,0.6756756756756757,67.56756756756756,0.5146366724197265,0.8036673347185553,51.46366724197266,80.36673347185554,secondary
0.0,gemini-3.5-flash,2:2,standard,1,is_flag_or_com,37,37,37,1.0,100.0,0.9059421741628021,0.9999999999999999,90.59421741628022,99.99999999999999,secondary
0.0,gemini-3.5-flash,3:1,standard,1,is_flag_or_com,37,37,4,0.10810810810810811,10.81081081081081,0.04285189940411574,0.24708531544125548,4.285189940411574,24.70853154412555,secondary
0.0,gemini-3.5-flash,3:2,standard,1,is_flag_or_com,37,37,23,0.6216216216216216,62.16216216216216,0.4610043043921809,0.7593600082420141,46.10043043921809,75.93600082420141,secondary
0.0,gemini-3.5-flash,4:1,standard,1,is_flag_or_com,37,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,is_flag_or_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,is_flag_or_com,38,36,7,0.19444444444444445,19.444444444444443,0.09753095418928912,0.350280429951769,9.753095418928911,35.028042995176904,secondary
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,is_flag_or_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,is_flag_or_com,38,38,1,0.02631578947368421,2.6315789473684212,0.004660587685768949,0.13494876115951676,0.46605876857689493,13.494876115951676,secondary
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,is_flag_or_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,is_flag_or_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,is_flag_or_com,38,34,13,0.38235294117647056,38.23529411764706,0.23900183324509228,0.5495898265556887,23.90018332450923,54.95898265556887,secondary
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,is_flag_or_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,is_flag_or_com,38,38,1,0.02631578947368421,2.6315789473684212,0.004660587685768949,0.13494876115951676,0.46605876857689493,13.494876115951676,secondary
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,is_flag_or_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
1.0,gemini-3.5-flash,2:1,standard,1,is_flag_or_com,38,37,9,0.24324324324324326,24.324324324324323,0.1336135298911662,0.4011729212144218,13.36135298911662,40.117292121442176,secondary
1.0,gemini-3.5-flash,2:2,standard,1,is_flag_or_com,38,38,38,1.0,100.0,0.9081901317744205,1.0,90.81901317744206,100.0,secondary
1.0,gemini-3.5-flash,3:1,standard,1,is_flag_or_com,38,37,0,0.0,0.0,0.0,0.09405782583719778,0.0,9.405782583719779,secondary
1.0,gemini-3.5-flash,3:2,standard,1,is_flag_or_com,38,38,9,0.23684210526315788,23.68421052631579,0.12993707017054298,0.3920681236323934,12.993707017054298,39.206812363239344,secondary
1.0,gemini-3.5-flash,4:1,standard,1,is_flag_or_com,38,38,0,0.0,0.0,0.0,0.09180986822557935,0.0,9.180986822557935,secondary
