model_id,ratio,strategy,layout_index,metric,n_answer_only,mean_answer_only,n_requested,mean_requested,mean_difference,standard_error,ci95_low,ci95_high,ci_method
anthropic/claude-haiku-4.5,2:1,standard,1,conflict_mention_rate,37,0.11711351351351351,38,0.0,-0.11711351351351351,0.039211780068348856,-0.19396719021718067,-0.040259836809846336,independent two-sample normal interval
anthropic/claude-haiku-4.5,2:2,standard,1,conflict_mention_rate,37,0.19820270270270268,38,0.14035,-0.05785270270270268,0.06390720059776861,-0.1831085142271023,0.06740310882169695,independent two-sample normal interval
anthropic/claude-haiku-4.5,3:1,standard,1,conflict_mention_rate,37,0.027024324324324323,38,0.0,-0.027024324324324323,0.01516290538718955,-0.05674307278420339,0.002694424135554742,independent two-sample normal interval
anthropic/claude-haiku-4.5,3:2,standard,1,conflict_mention_rate,37,0.07207027027027027,38,0.017544736842105262,-0.054525533428165004,0.03412532166323798,-0.1214099348489541,0.01235886799262409,independent two-sample normal interval
anthropic/claude-haiku-4.5,4:1,standard,1,conflict_mention_rate,37,0.009008108108108108,38,0.0,-0.009008108108108108,0.009008108108108108,-0.026663675568842755,0.00864745935262654,independent two-sample normal interval
deepseek/deepseek-v4-flash,2:1,standard,1,conflict_mention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,2:2,standard,1,conflict_mention_rate,37,0.0,38,0.04385526315789474,0.04385526315789474,0.018522210993961116,0.007552396695680114,0.08015812962010936,independent two-sample normal interval
deepseek/deepseek-v4-flash,3:1,standard,1,conflict_mention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,3:2,standard,1,conflict_mention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,4:1,standard,1,conflict_mention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,2:1,standard,1,conflict_mention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,2:2,standard,1,conflict_mention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,3:1,standard,1,conflict_mention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,3:2,standard,1,conflict_mention_rate,37,0.009008108108108108,38,0.0,-0.009008108108108108,0.009008108108108108,-0.026663675568842755,0.00864745935262654,independent two-sample normal interval
gemini-3.5-flash,4:1,standard,1,conflict_mention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,2:1,standard,1,abstention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,2:2,standard,1,abstention_rate,37,0.018016216216216217,38,0.1140342105263158,0.09601799431009958,0.03828748542293437,0.020975901822547965,0.1710600867976512,independent two-sample normal interval
anthropic/claude-haiku-4.5,3:1,standard,1,abstention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,3:2,standard,1,abstention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
anthropic/claude-haiku-4.5,4:1,standard,1,abstention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,2:1,standard,1,abstention_rate,37,0.0,38,0.008771052631578947,0.008771052631578947,0.008771052631578947,-0.008419894632820578,0.02596199989597847,independent two-sample normal interval
deepseek/deepseek-v4-flash,2:2,standard,1,abstention_rate,37,0.0,38,0.32456315789473683,0.32456315789473683,0.05549872660375207,0.2157876525635508,0.43333866322592285,independent two-sample normal interval
deepseek/deepseek-v4-flash,3:1,standard,1,abstention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
deepseek/deepseek-v4-flash,3:2,standard,1,abstention_rate,37,0.0,38,0.02631578947368421,0.02631578947368421,0.01940182989357668,-0.011711098351897625,0.06434267729926604,independent two-sample normal interval
deepseek/deepseek-v4-flash,4:1,standard,1,abstention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
gemini-3.5-flash,2:1,standard,1,abstention_rate,37,0.0,38,0.21052631578947367,0.21052631578947367,0.050945932303448675,0.1106741233159013,0.310378508263046,independent two-sample normal interval
gemini-3.5-flash,2:2,standard,1,abstention_rate,37,0.0,38,0.8771999999999999,0.8771999999999999,0.03185619313809762,0.8147630087647783,0.9396369912352215,independent two-sample normal interval
gemini-3.5-flash,3:1,standard,1,abstention_rate,37,0.0,38,0.008771052631578947,0.008771052631578947,0.008771052631578947,-0.008419894632820578,0.02596199989597847,independent two-sample normal interval
gemini-3.5-flash,3:2,standard,1,abstention_rate,37,0.0,38,0.2456078947368421,0.2456078947368421,0.05434252391870116,0.13909850502718432,0.3521172844464999,independent two-sample normal interval
gemini-3.5-flash,4:1,standard,1,abstention_rate,37,0.0,38,0.0,0.0,0.0,0.0,0.0,independent two-sample normal interval
