model_id,ratio,strategy,layout_index,outcome,n_assigned_answer_only,n_observed_answer_only,n_missing_answer_only,events_observed_answer_only,n_assigned_requested,n_observed_requested,n_missing_requested,events_observed_requested,worst_case_lower_difference,worst_case_upper_difference,worst_case_lower_percentage_points,worst_case_upper_percentage_points,method,estimand_role
anthropic/claude-haiku-4.5,2:1,standard,1,is_flag,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
anthropic/claude-haiku-4.5,2:2,standard,1,is_flag,37,33,4,0,38,36,2,4,-0.002844950213371278,0.15789473684210525,-0.2844950213371278,15.789473684210526,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
anthropic/claude-haiku-4.5,3:1,standard,1,is_flag,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
anthropic/claude-haiku-4.5,3:2,standard,1,is_flag,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
anthropic/claude-haiku-4.5,4:1,standard,1,is_flag,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
deepseek/deepseek-v4-flash,2:1,standard,1,is_flag,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
deepseek/deepseek-v4-flash,2:2,standard,1,is_flag,37,37,0,0,38,34,4,13,0.34210526315789475,0.4473684210526316,34.21052631578947,44.73684210526316,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
deepseek/deepseek-v4-flash,3:1,standard,1,is_flag,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
deepseek/deepseek-v4-flash,3:2,standard,1,is_flag,37,37,0,0,38,38,0,1,0.02631578947368421,0.02631578947368421,2.631578947368421,2.631578947368421,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
deepseek/deepseek-v4-flash,4:1,standard,1,is_flag,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
