distribution_request_assigned,model_id,ratio,strategy,layout_index,n_conditions,n_conditions_with_primary_retry,n_conditions_with_posthoc_retry,primary_api_attempts,primary_format_retries,primary_retry_share_of_attempts,posthoc_api_attempts,posthoc_format_retries,posthoc_retry_share_of_attempts
0.0,anthropic/claude-haiku-4.5,2:1,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,anthropic/claude-haiku-4.5,2:2,standard,1,37,0,0,111,0,0.0,33,0,0.0
0.0,anthropic/claude-haiku-4.5,3:1,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,anthropic/claude-haiku-4.5,3:2,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,anthropic/claude-haiku-4.5,4:1,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,deepseek/deepseek-v4-flash,2:1,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,deepseek/deepseek-v4-flash,2:2,standard,1,37,3,0,116,5,0.04310344827586207,37,0,0.0
0.0,deepseek/deepseek-v4-flash,3:1,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,deepseek/deepseek-v4-flash,3:2,standard,1,37,1,0,112,1,0.008928571428571428,37,0,0.0
0.0,deepseek/deepseek-v4-flash,4:1,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,gemini-3.5-flash,2:1,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,gemini-3.5-flash,2:2,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,gemini-3.5-flash,3:1,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,gemini-3.5-flash,3:2,standard,1,37,0,0,111,0,0.0,37,0,0.0
0.0,gemini-3.5-flash,4:1,standard,1,37,0,0,111,0,0.0,37,0,0.0
1.0,anthropic/claude-haiku-4.5,2:1,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,anthropic/claude-haiku-4.5,2:2,standard,1,38,0,0,114,0,0.0,36,0,0.0
1.0,anthropic/claude-haiku-4.5,3:1,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,anthropic/claude-haiku-4.5,3:2,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,anthropic/claude-haiku-4.5,4:1,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,deepseek/deepseek-v4-flash,2:1,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,deepseek/deepseek-v4-flash,2:2,standard,1,38,10,0,126,12,0.09523809523809523,34,0,0.0
1.0,deepseek/deepseek-v4-flash,3:1,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,deepseek/deepseek-v4-flash,3:2,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,deepseek/deepseek-v4-flash,4:1,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,gemini-3.5-flash,2:1,standard,1,38,1,0,115,1,0.008695652173913044,37,0,0.0
1.0,gemini-3.5-flash,2:2,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,gemini-3.5-flash,3:1,standard,1,38,0,0,114,0,0.0,37,0,0.0
1.0,gemini-3.5-flash,3:2,standard,1,38,0,0,114,0,0.0,38,0,0.0
1.0,gemini-3.5-flash,4:1,standard,1,38,0,0,114,0,0.0,38,0,0.0
