run_id,protocol_version,dataset_sha256,run_seed,layout_index,timestamp_utc,entity_id,entity_name,domain,attribute,ratio,n_docs,call_phase,trial_index,attempt_index,attempt_status,trial_record,strategy,prompt_hash,doc_positions,confidence_condition,distribution_request_assigned,inline_confidence_requested,model_slot,model_provider,model_id,returned_model_id,question,majority_value,minority_value,claim_a_value,claim_b_value,claim_a_side,claim_b_side,response_category,mentions_conflict,abstained,raw_response,parsed_answer,p_claim_a,p_claim_b,p_indeterminate,p_sources_conflict,p_majority,p_minority,confidence_best_resolution,confidence_scale,format_error,prompt_tokens,completion_tokens,reasoning_tokens,error
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:40.605616+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,primary,1,1,accepted,1,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,gemini,gemini,gemini-3.5-flash,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,MAJ,0,0,"{""answer"": ""$25""}",$25,,,,,,,,,,287,249,242,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:44.450587+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,primary,2,1,accepted,1,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,gemini,gemini,gemini-3.5-flash,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,MAJ,0,0,"{""answer"": ""$25""}",$25,,,,,,,,,,287,260,253,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:48.358845+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,primary,3,1,accepted,1,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,gemini,gemini,gemini-3.5-flash,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,MAJ,0,0,"{""answer"": ""$25""}",$25,,,,,,,,,,287,298,291,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:52.267119+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,posthoc,,1,accepted,1,standard,ba879fdef789754600899aa520f28d367d97d0014db20275028965caa1b4f467,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,gemini,gemini,gemini-3.5-flash,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,,,,"```json
{""confidence_best_resolution"": 100}
```",,,,,,,,100,0-100_best_resolution,,353,140,123,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:42.348898+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,primary,1,1,accepted,1,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,MAJ,0,0,"{{""answer"": ""$25""}}",$25,,,,,,,,,,289,57,50,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:46.224902+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,primary,2,1,accepted,1,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,MAJ,0,0,"{""answer"": ""$25""}",$25,,,,,,,,,,368,80,74,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:50.531972+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,primary,3,1,accepted,1,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,MAJ,0,0,"{{""answer"": ""$25""}}",$25,,,,,,,,,,289,60,59,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:52.766635+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,posthoc,,1,accepted,1,standard,ba879fdef789754600899aa520f28d367d97d0014db20275028965caa1b4f467,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,,,,"{""confidence_best_resolution"": 100}",,,,,,,,100,0-100_best_resolution,,353,66,70,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:42.349085+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,primary,1,1,accepted,1,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,claude,openrouter,anthropic/claude-haiku-4.5,anthropic/claude-haiku-4.5,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,MAJ,0,0,"```json
{""answer"": ""$25""}
```",$25,,,,,,,,,,361,209,181,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:46.225074+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,primary,2,1,accepted,1,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,claude,openrouter,anthropic/claude-haiku-4.5,anthropic/claude-haiku-4.5,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,MAJ,0,0,"{""answer"": ""$25""}",$25,,,,,,,,,,361,197,186,
ba5527fe,2026-07-17-rich-distribution-v3-balanced,ae988cca2df68905dab713c2b536c3e821146a40bdff9926d1a5d59f09c22073,20260714,1,2026-07-17T22:06:50.532139+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,primary,3,1,accepted,1,standard,23aab9c02836799eccf37c8698c21a211d68ba33a644d09bd00a9ea8c0446fbd,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",unanimous_answer_only_plus_posthoc,0,0,claude,openrouter,anthropic/claude-haiku-4.5,anthropic/claude-haiku-4.5,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,,,,,MAJ,0,0,"{""answer"": ""$25""}",$25,,,,,,,,,,361,200,186,
