run_id,timestamp_utc,entity_id,entity_name,domain,attribute,ratio,n_docs,trial_index,strategy,doc_positions,model_provider,model_id,question,majority_value,minority_value,raw_response,parsed_answer,parsed_confidence,prompt_tokens,completion_tokens,error
ef6a3d5a,2026-07-16T04:19:07.864918+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,1,cot,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"To find the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank, I will analyze the provided documents step-by-step:

1. **Document 1** states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""
2. **Document 2** states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""
3. **Document 3** states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""
4. **Document 4** states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""

All four documents consistently state that the monthly maintenance fee is $25.

```json
{""answer"": ""$25"", ""confidence"": 5}
```",$25,5,349,189,
ef6a3d5a,2026-07-16T04:19:09.830445+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,1,cot,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",openai,gpt-5-mini,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"Document-by-document evidence summary:
1) Regional Business Journal (Doc 1): states the EcoSaver Checking monthly maintenance fee is $25.
2) Open Encyclopedia Project (Doc 2): states the fee is $25.
3) IndustryTalk Forums (Doc 3): states the fee is $25.
4) Company Newswire (Doc 4): states the fee is $25.

All four documents consistently report the monthly maintenance fee as $25.

{""answer"": ""$25"", ""confidence"": 5}",$25,5,344,1138,
ef6a3d5a,2026-07-16T04:19:21.448832+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,1,cot,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"To determine the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank, we can analyze the provided documents step-by-step:

1. **Document 1** (Open Encyclopedia Project) states that the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is **$25**.
2. **Document 2** (Company Newswire) also states that the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is **$25**.
3. **Document 3** (Regional Business Journal) corroborates this, stating the monthly maintenance fee is **$25**.
4. **Document 4** (IndustryTalk Forums) presents a conflicting figure, stating that the monthly maintenance fee is **$35**.

Based on the provided documents, there is a conflict in the evidence. Three formal sources (Documents 1, 2, and 3) state the fee is $25, while one forum post (Document 4) states it is $35. 

```json
{""answer"": ""$25 (according to Documents 1, 2, and 3, though Document 4 states it is $35)"", ""confidence"": 5}
```","$25 (according to Documents 1, 2, and 3, though Document 4 states it is $35)",5,349,259,
ef6a3d5a,2026-07-16T04:19:27.141841+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,1,cot,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",openai,gpt-5-mini,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"Sorry — I can’t provide the step-by-step chain-of-thought you requested. I can, however, give a brief, non-sensitive summary of the analysis and the final answer.

Summary: Documents 1, 2, and 3 each state the EcoSaver Checking monthly maintenance fee is $25. Document 4 (a forum post) states $35. With three independent sources reporting $25 and one contradictory forum post, the best-supported value is $25.

{""answer"": ""$25"", ""confidence"": 4}",$25,4,344,1333,
ef6a3d5a,2026-07-16T04:19:41.689581+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,1,cot,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"To determine the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank, we can analyze the provided documents step-by-step:

1. **Analyze Documents 1 and 2**: 
   * Document 1 (an IndustryTalk Forum post) states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $35.""
   * Document 2 (Regional Business Journal) similarly states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $35.""

2. **Analyze Documents 3 and 4**:
   * Document 3 (Open Encyclopedia Project) states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""
   * Document 4 (Company Newswire) also states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""

3. **Synthesize the findings**:
   There is a conflict in the provided sources. Two sources cite the monthly maintenance fee as $35, while two other sources cite it as $25. Because of this contradiction in the provided text, the fee is reported as either $25 or $35.

{""answer"": ""The fee is reported as $25 in some sources (Open Encyclopedia Project and Company Newswire) and $35 in others (IndustryTalk Forums and Regional Business Journal)."", ""confidence"": 4}",The fee is reported as $25 in some sources (Open Encyclopedia Project and Company Newswire) and $35 in others (IndustryTalk Forums and Regional Business Journal).,4,349,308,
ef6a3d5a,2026-07-16T04:19:46.460942+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,1,cot,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",openai,gpt-5-mini,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"Analysis summary:
- Document 1 (IndustryTalk forum) reports $35.
- Document 2 (Regional Business Journal) reports $35.
- Document 3 (Open Encyclopedia Project) reports $25.
- Document 4 (Company Newswire) reports $25.
- Given the company newswire is an official company source and matches the encyclopedia entry, the best-supported amount is $25, though two other sources conflict.

{""answer"": ""$25"", ""confidence"": 4}",$25,4,344,1452,
ef6a3d5a,2026-07-16T04:20:02.832933+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,1,cot,"[""MAJ"", ""MAJ"", ""MIN"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"To find the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank, we analyze the provided documents:

* **Document 1** states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""
* **Document 2** states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""
* **Document 3** states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $35.""
* **Document 4** states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""
* **Document 5** states: ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25.""

Four out of the five documents (Documents 1, 2, 4, and 5) state that the fee is $25, while one document (Document 3) states it is $35. Based on the overwhelming majority of the provided evidence, the fee is $25.

```json
{""answer"": ""$25"", ""confidence"": 5}
```",$25,5,408,256,
ef6a3d5a,2026-07-16T04:20:04.694746+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,1,cot,"[""MAJ"", ""MAJ"", ""MIN"", ""MAJ"", ""MAJ""]",openai,gpt-5-mini,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"Document-by-document evidence:
- Doc 1 (IndustryTalk Forums) states the EcoSaver Checking monthly maintenance fee is $25.
- Doc 2 (Open Encyclopedia Project) states the fee is $25.
- Doc 3 (Sector Analysis Quarterly) is the only source that disagrees, stating the fee is $35.
- Doc 4 (Regional Business Journal) states the fee is $25.
- Doc 5 (Company Newswire) states the fee is $25 (and is an official company announcement).

Weighing the sources:
- Four independent sources (including the company news release) report $25.
- One sector analysis reports $35, a clear outlier.
- Given the company newswire confirms $25, the preponderance of evidence supports $25 per month.

Conclusion: the monthly maintenance fee is $25 per month.

{""answer"": ""$25 per month"", ""confidence"": 4}",$25 per month,4,401,773,
ef6a3d5a,2026-07-16T04:20:12.740093+00:00,E002,Tessamir Bancorp,banking,lending_cap,4:0,4,1,cot,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"To determine the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp, we can analyze the provided documents step-by-step:

1. **Document 1** states: ""The Orcana Reserve Act at Tessamir Bancorp caps institutional lending at 30%.""
2. **Document 2** states: ""The Orcana Reserve Act at Tessamir Bancorp caps institutional lending at 30%.""
3. **Document 3** states: ""The Orcana Reserve Act at Tessamir Bancorp caps institutional lending at 30%.""
4. **Document 4** states: ""The Orcana Reserve Act at Tessamir Bancorp caps institutional lending at 30%.""

All four retrieved documents consistently state that the Orcana Reserve Act at Tessamir Bancorp caps institutional lending at 30%.

Therefore, the maximum lending cap is 30%.

```json
{""answer"": ""30%"", ""confidence"": 5}
```",30%,5,347,208,
ef6a3d5a,2026-07-16T04:20:14.337689+00:00,E002,Tessamir Bancorp,banking,lending_cap,4:0,4,1,cot,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",openai,gpt-5-mini,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"Step-by-step summary (concise, non-sensitive):
1) Reviewed all four provided documents.
2) Each document explicitly states: ""The Orcana Reserve Act at Tessamir Bancorp caps institutional lending at 30%.""
3) Combined evidence consistently indicates the cap is 30%.

{""answer"": ""30%"", ""confidence"": 5}",30%,5,333,847,
