run_id,protocol_version,dataset_sha256,run_seed,layout_index,timestamp_utc,entity_id,entity_name,domain,attribute,ratio,n_docs,call_phase,trial_index,strategy,prompt_hash,doc_positions,confidence_condition,distribution_request_assigned,inline_confidence_requested,model_slot,model_provider,model_id,returned_model_id,question,majority_value,minority_value,claim_a_value,claim_b_value,claim_a_side,claim_b_side,response_category,mentions_conflict,abstained,raw_response,parsed_answer,p_claim_a,p_claim_b,p_indeterminate,p_sources_conflict,p_majority,p_minority,confidence_best_resolution,confidence_scale,format_error,prompt_tokens,completion_tokens,reasoning_tokens,error
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:53:46.540864+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,primary,1,standard,97d283527690c9d12b8eb8780ed04e70776a99689ef1be93e143b86e7676ab34,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,gemini,gemini,gemini-3.5-flash,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,COM,0,0,"{""answer"": ""According to Documents 1 and 2, the monthly maintenance fee is $35 (Claim B), while Documents 3 and 4 state it is $25 (Claim A).""}","According to Documents 1 and 2, the monthly maintenance fee is $35 (Claim B), while Documents 3 and 4 state it is $25 (Claim A).",,,,,,,,,,307,646,603,
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:53:52.445801+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,primary,1,standard,97d283527690c9d12b8eb8780ed04e70776a99689ef1be93e143b86e7676ab34,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,OTHER,0,0,"{""answer"": ""Claim A""}",Claim A,,,,,,,,,,306,1087,1078,
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:54:01.685452+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,primary,1,standard,97d283527690c9d12b8eb8780ed04e70776a99689ef1be93e143b86e7676ab34,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,claude,openrouter,anthropic/claude-haiku-4.5,anthropic/claude-haiku-4.5,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,MAJ,0,0,"```json
{""answer"": ""Claim A: $25""}
```",Claim A: $25,,,,,,,,,,382,431,407,
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:54:01.685776+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,primary,2,standard,97d283527690c9d12b8eb8780ed04e70776a99689ef1be93e143b86e7676ab34,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,gemini,gemini,gemini-3.5-flash,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,COM,1,0,"{""answer"": ""The provided documents contain conflicting information: Documents 3 and 4 state that the monthly maintenance fee is $25 (Claim A), while Documents 1 and 2 state that it is $35 (Claim B).""}","The provided documents contain conflicting information: Documents 3 and 4 state that the monthly maintenance fee is $25 (Claim A), while Documents 1 and 2 state that it is $35 (Claim B).",,,,,,,,,,307,505,455,
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:54:06.806473+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,primary,2,standard,97d283527690c9d12b8eb8780ed04e70776a99689ef1be93e143b86e7676ab34,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,MAJ,0,0,"{""answer"": ""$25""}",$25,,,,,,,,,,306,841,962,
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:55:45.179335+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,primary,2,standard,97d283527690c9d12b8eb8780ed04e70776a99689ef1be93e143b86e7676ab34,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,claude,openrouter,anthropic/claude-haiku-4.5,anthropic/claude-haiku-4.5,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,MAJ,0,0,"```json
{""answer"": ""Claim A: $25""}
```",Claim A: $25,,,,,,,,,,382,518,499,
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:55:45.179785+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,primary,3,standard,97d283527690c9d12b8eb8780ed04e70776a99689ef1be93e143b86e7676ab34,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,gemini,gemini,gemini-3.5-flash,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,COM,1,0,"```json
{""answer"": ""The provided documents contain conflicting information. Document 3 and Document 4 state that the monthly maintenance fee is $25 (Claim A), while Document 1 and Document 2 state that it is $35 (Claim B).""}
```","The provided documents contain conflicting information. Document 3 and Document 4 state that the monthly maintenance fee is $25 (Claim A), while Document 1 and Document 2 state that it is $35 (Claim B).",,,,,,,,,,307,850,793,
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:55:51.522081+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,primary,3,standard,97d283527690c9d12b8eb8780ed04e70776a99689ef1be93e143b86e7676ab34,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,deepseek,openrouter,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,MAJ,0,0,"{""answer"": ""$25""}",$25,,,,,,,,,,306,722,783,
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:56:33.860474+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,primary,3,standard,97d283527690c9d12b8eb8780ed04e70776a99689ef1be93e143b86e7676ab34,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,claude,openrouter,anthropic/claude-haiku-4.5,anthropic/claude-haiku-4.5,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,MAJ,0,0,"```json
{""answer"": ""Claim A: $25""}
```",Claim A: $25,,,,,,,,,,382,493,468,
b34fa6a4,2026-07-17-rich-distribution-v3-balanced,b69995a529dc3472d2fa463c5c6b7007630ff7f248a9fa93d1c22ee06d4e2a7a,20260714,1,2026-07-17T06:56:33.860713+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,posthoc,,standard,f411c9be94bed0eef99fa778f3560d61ad50d7f236a45f217407a5ad6277b96f,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",matched_answer_only_plus_posthoc_control,0,0,gemini,gemini,gemini-3.5-flash,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,$25,$35,MAJ,MIN,,,,"```json
{""confidence_best_resolution"": 100}
```",,,,,,,,100,0-100_best_resolution,,388,307,290,
